Generacion,Costo,Diseño
30,1080.0,.............|..0430..3810..4202.|..1331..3721..1106.|..1223..1419..4439.|..2832..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0133..2547..4307.|..4540..2635..0848.|.............
31,1080.0,.............|..0430..3810..4202.|..1331..3721..1106.|..1223..1419..4439.|..2832..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0133..2547..4307.|..4540..2635..0848.|.............
32,1080.0,.............|..0430..3810..4202.|..1331..3721..1106.|..1223..1419..4439.|..2832..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0133..2547..4307.|..4540..2635..0848.|.............
33,1080.0,.............|..0430..3810..4202.|..1331..3721..1106.|..1223..1419..4439.|..2832..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0133..2547..4307.|..4540..2635..0848.|.............
34,1080.0,.............|..0430..3810..4202.|..1331..3721..1106.|..1223..1419..4439.|..2832..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0133..2547..4307.|..4540..2635..0848.|.............
35,1077.0,.............|..3330..3810..4202.|..1331..3721..1106.|..1223..1419..4439.|..2832..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0104..2547..4307.|..4540..2635..0848.|.............
36,1074.0,.............|..3330..3810..4202.|..1331..3721..1106.|..1232..1419..4439.|..2823..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0104..2547..4307.|..4540..2635..0848.|.............
37,1074.0,.............|..3330..3810..4202.|..1331..3721..1106.|..1232..1419..4439.|..2823..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0104..2547..4307.|..4540..2635..0848.|.............
38,1074.0,.............|..3330..3810..4202.|..1331..3721..1106.|..1232..1419..4439.|..2823..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0104..2547..4307.|..4540..2635..0848.|.............
39,1072.0,.............|..3330..3810..1302.|..4231..3721..1106.|..1232..1419..4439.|..2823..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0104..2547..4307.|..4540..2635..0848.|.............
40,1072.0,.............|..3330..3810..1302.|..4231..3721..1106.|..1232..1419..4439.|..2823..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0104..2547..4307.|..4540..2635..0848.|.............
41,1072.0,.............|..3330..3810..1302.|..4231..3721..1106.|..1232..1419..4439.|..2823..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0104..2547..4307.|..4540..2635..0848.|.............
42,1071.0,.............|..3330..3810..1302.|..1931..3721..1106.|..1232..1442..4439.|..2823..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0104..2547..4307.|..4540..2635..0848.|.............
43,1071.0,.............|..3330..3810..1302.|..1931..3721..1106.|..1232..1442..4439.|..2823..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0104..2547..4307.|..4540..2635..0848.|.............
44,1071.0,.............|..3330..3810..1302.|..1931..3721..1106.|..1232..1442..4439.|..2823..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0104..2547..4307.|..4540..2635..0848.|.............
45,1071.0,.............|..3330..3810..1302.|..1931..3721..1106.|..1232..1442..4439.|..2823..1820..4109.|.............|..3436..2227..2405.|..4617..2916..1503.|..0104..2547..4307.|..4540..2635..0848.|.............
46,1067.0,.............|..3330..3810..3402.|..1931..3721..1106.|..1232..1442..4439.|..2823..1820..4109.|.............|..1336..2227..2405.|..4617..2916..1503.|..0104..2547..4307.|..4540..2635..0848.|.............
47,1055.0,.............|..3330..3810..3402.|..1931..3708..1106.|..1232..1442..4439.|..2823..1820..4109.|.............|..1736..2227..2405.|..4613..2916..1503.|..0104..2547..4307.|..4540..2635..2148.|.............
48,1055.0,.............|..3330..3810..3402.|..1931..3708..1106.|..1232..1442..4439.|..2823..1820..4109.|.............|..1736..2227..2405.|..4613..2916..1503.|..0104..2547..4307.|..4540..2635..2148.|.............
49,1055.0,.............|..3330..3810..3402.|..1931..3708..1106.|..1232..1442..4439.|..2823..1820..4109.|.............|..1736..2227..2405.|..4613..2916..1503.|..0104..2547..4307.|..4540..2635..2148.|.............
50,1055.0,.............|..3330..3810..3402.|..1931..3708..1106.|..1232..1442..4439.|..2823..1820..4109.|.............|..1736..2227..2405.|..4613..2916..1503.|..0104..2547..4307.|..4540..2635..2148.|.............
